DJEDIKZFTMQTGJ;DUEOCIQBWJUYMHPLX <---> DEIQJ
TGWDMYFPJYQGCNN;EEJEBXYFRQJFLJCXYQKR <---> YFJYQ
XDFYJUYKOZJQAWKMUJAFU;TBQADNFDBVYOU <---> DFYUU
QKCSQPGXHJAZYRHSKDHL;RAJJXDECWGELNTLNSKUA <---> CSSK
CBXBXCRTCNG;YAFSCOKHPJHFGMYVDPK <---> CG
KGZWIWYSMGWAARZEQ;TTYBXYTGPDVVUQFM <---> GGQ
thisisatest;testing123testing <---> tiitest
the quick brown fox;the fast brown dogs <---> the  brown o
SSZLZSXJWOQKOEZBBYOUGC;SMUPBRHCHTZXQTAEQ <---> SZXQE
ZFHXHUISUYZIW;VIQAGGQNSLZKCQNGGXD <---> ISZ
URJLNBIIKNZMIRYJHYFE;OLHFFLBWECMQD <---> LHFE
PFICQGGZJGSGICFIEV;RXRMEUWGMCAEOY <---> CCE
CZEXMUGUDEQ;SAGTUEJETJPBBPU <---> UUE
RPXCOIHBBLWGDXZ;VRSDCGAITXLFWVZ <---> RCILWZ
RPJILVZBGMLVASERDIGUHE;HRVKJLRJBPOVUH <---> RJLVVUH
hello world mordor;lord of the rings <---> lord or
EEJKYIIUBPJUSLRENOHIPA;CYEEZWEZURWTENJ <---> EEUREN
NAKNHTAFWZ;FPPVLIWVTEISKSPTKA <---> KTA
RTRVXTIKTHCBMYCJXO;JDXEZMLVJM <---> XMJ
TTBXHBPGFRPJHZN;JBZGKSATQRH <---> BGRH
